Variable Name,Variable Description,Component
DS1DSCNT,Total # of Dietary Supplements Taken,Dietary
DS1TCAFF,Caffeine (mg),Dietary
DS1TCARB,Carbohydrate (gm),Dietary
DS1TCHL,Total choline (mg),Dietary
DS1TCHOL,Cholesterol (mg),Dietary
DS1TCOPP,Copper (mg),Dietary
DS1TFA,Folic acid (mcg),Dietary
DS1TFDFE,"Folate, DFE (mcg)",Dietary
DS1TFIBE,Dietary fiber (gm),Dietary
DS1TIODI,Iodine (mcg),Dietary
DS1TIRON,Iron (mg),Dietary
DS1TKCAL,Energy (kcal),Dietary
DS1TLYCO,Lycopene (mcg),Dietary
DS1TLZ,Lutein + zeaxanthin (mcg),Dietary
DS1TMAGN,Magnesium (mg),Dietary
DS1TMFAT,Total monounsaturated fatty acids (gm),Dietary
DS1TNIAC,Niacin (mg),Dietary
DS1TPFAT,Total polyunsaturated fatty acids (gm),Dietary
DS1TPHOS,Phosphorus (mg),Dietary
DS1TPOTA,Potassium (mg),Dietary
DS1TPROT,Protein (gm),Dietary
DS1TSELE,Selenium (mcg),Dietary
DS1TSFAT,Total saturated fatty acids (gm),Dietary
DS1TSODI,Sodium (mg),Dietary
DS1TSUGR,Total sugars (gm),Dietary
DS1TTFAT,Total fat (gm),Dietary
DS1TVB1,Thiamin (Vitamin B1) (mg),Dietary
DS1TVB12,Vitamin B12 (mcg),Dietary
DS1TVB2,Riboflavin (Vitamin B2) (mg),Dietary
DS1TVB6,Vitamin B6 (mg),Dietary
DS1TVC,Vitamin C (mg),Dietary
DS1TVD,Vitamin D (D2 + D3) (mcg),Dietary
DS1TVK,Vitamin K (mcg),Dietary
DS1TZINC,Zinc (mg),Dietary
SEQN,Respondent sequence number.,Dietary
WTDR2D,Dietary two-day sample weight,Dietary
WTDRD1,Dietary day one sample weight,Dietary
DR2DAY,Intake day of the week,Dietary
DR2DBIH,# of days b/w intake and HH interview,Dietary
DR2DRSTZ,Dietary recall status,Dietary
DR2EXMER,Interviewer ID code,Dietary
DR2HELP,Who helped in responding for this interview,Dietary
DR2LANG,The respondent spoke mostly:,Dietary
DR2MRESP,Who was the main respondent for this interview?,Dietary
DRDINT,Indicates whether the sample person has intake data for one or two days.,Dietary
DS2AN,Any Antacids Taken?,Dietary
DS2ANCNT,Total # of Antacids Taken,Dietary
DS2DS,Any Dietary Supplements taken in the past 24 hour?,Dietary
DS2DSCNT,Total # of Dietary Supplements Taken,Dietary
DS2TCAFF,Caffeine (mg),Dietary
DS2TCARB,Carbohydrate (gm),Dietary
DS2TCHL,Total choline (mg),Dietary
DS2TCHOL,Cholesterol (mg),Dietary
DS2TCOPP,Copper (mg),Dietary
DS2TFA,Folic acid (mcg),Dietary
DS2TFDFE,"Folate, DFE (mcg)",Dietary
DS2TFIBE,Dietary fiber (gm),Dietary
DS2TIODI,Iodine (mcg),Dietary
DS2TIRON,Iron (mg),Dietary
DS2TKCAL,Energy (kcal),Dietary
DS2TLYCO,Lycopene (mcg),Dietary
DS2TLZ,Lutein + zeaxanthin (mcg),Dietary
DS2TMAGN,Magnesium (mg),Dietary
DS2TMFAT,Total monounsaturated fatty acids (gm),Dietary
DS2TNIAC,Niacin (mg),Dietary
DS2TPFAT,Total polyunsaturated fatty acids (gm),Dietary
DS2TPHOS,Phosphorus (mg),Dietary
DS2TPOTA,Potassium (mg),Dietary
DS2TPROT,Protein (gm),Dietary
DS2TSELE,Selenium (mcg),Dietary
DS2TSFAT,Total saturated fatty acids (gm),Dietary
DS2TSODI,Sodium (mg),Dietary
DS2TSUGR,Total sugars (gm),Dietary
DS2TTFAT,Total fat (gm),Dietary
DS2TVB1,Thiamin (Vitamin B1) (mg),Dietary
DS2TVB12,Vitamin B12 (mcg),Dietary
DS2TVB2,Riboflavin (Vitamin B2) (mg),Dietary
DS2TVB6,Vitamin B6 (mg),Dietary
DS2TVC,Vitamin C (mg),Dietary
DS2TVD,Vitamin D (D2 + D3) (mcg),Dietary
DS2TVK,Vitamin K (mcg),Dietary
DS2TZINC,Zinc (mg),Dietary
SEQN,Respondent sequence number.,Dietary
WTDR2D,Dietary two-day sample weight,Dietary
WTDRD1,Dietary day one sample weight,Dietary
DSD070,Was container seen?,Dietary
DSD090,For how long have you been taking {PRODUCT NAME} or a similar type of product?,Dietary
DSD103,"In the past 30 days, on how many days did you take {PRODUCT NAME}?",Dietary
DSD122Q,"On the days that (you/SP) took (PRODUCT NAME), how much did (you/SP), usually take on a single day?",Dietary
DSD122U,"On the days that {you/SP} took {PRODUCT NAME}, how much did {you/SP} usually take on a single day?",Dietary
DSD128AA,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128BB,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128DD,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128EE,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128FF,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128GG,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128HH,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128II,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128JJ,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128KK,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128LL,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128MM,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128OO,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128PP,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128T,What is the reason you take {PRODUCT NAME}? (Did you decide to take it for reasons of your own or did a doctor or other health provider tell you to take it?),Dietary
DSD128V,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128W,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128X,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSD128Z,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSDACTSS,Reported serving size/label serving size,Dietary
DSDANTA,Antacid reported as a dietary supplement,Dietary
DSDDAY1,"Was Supplement taken during the 24 Hour Recall, Day 1?",Dietary
DSDDAY2,"Was Supplement taken during the 24 Hour Recall, Day 2?",Dietary
DSDMTCH,Matching code,Dietary
DSDPID,Supplement ID Number,Dietary
DSDSUPP,,Dietary
DSQ124,What is the reason you take {PRODUCT NAME}? (Did you decide to take it for reasons of your own or did a doctor or other health provider tell you to take it?),Dietary
DSQ128A,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128B,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128C,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128D,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128E,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128F,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128G,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128H,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128I,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128J,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128K,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128L,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128M,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128N,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128NN,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128O,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128P,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128Q,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128R,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQ128S,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?),Dietary
DSQICAFF,Caffeine (mg),Dietary
DSQICARB,Carbohydrate (gm),Dietary
DSQICHL,Total choline (mg),Dietary
DSQICHOL,Cholesterol (mg),Dietary
DSQICOPP,Copper (mg),Dietary
DSQIFA,Folic acid (mcg),Dietary
DSQIFDFE,"Folate, DFE (mcg)",Dietary
DSQIFIBE,Dietary fiber (gm),Dietary
DSQIIODI,,Dietary
DSQIIRON,Iron (mg),Dietary
DSQIKCAL,Energy (kcal),Dietary
DSQILYCO,Lycopene (mcg),Dietary
DSQILZ,Lutein + zeaxanthin (mcg),Dietary
DSQIMAGN,Magnesium (mg),Dietary
DSQIMFAT,Total monounsaturated fatty acids (gm),Dietary
DSQINIAC,Niacin (mg),Dietary
DSQIPFAT,Total polyunsaturated fatty acids (gm),Dietary
DSQIPHOS,Phosphorus (mg),Dietary
DSQIPOTA,Potassium (mg),Dietary
DSQIPROT,Protein (gm),Dietary
DSQISELE,Selenium (mcg),Dietary
DSQISFAT,Total saturated fatty acids (gm),Dietary
DSQISODI,Sodium (mg),Dietary
DSQISUGR,Total sugars (gm),Dietary
DSQITFAT,Total fat (gm),Dietary
DSQIVB1,Thiamin (Vitamin B1) (mg),Dietary
DSQIVB12,Vitamin B12 (mcg),Dietary
DSQIVB2,Riboflavin (Vitamin B2) (mg),Dietary
DSQIVB6,Vitamin B6 (mg),Dietary
DSQIVC,Vitamin C (mg),Dietary
DSQIVD,Vitamin D (D2 + D3) (mcg),Dietary
DSQIVK,Vitamin K (mcg),Dietary
DSQIZINC,Zinc (mg),Dietary
RXQ215A,"Did you take {PRODUCT NAME} as an antacid, as a calcium supplement, or both?",Dietary
SEQN,Respondent sequence number.,Dietary
BPAARM,Arm selected:,Examination
BPACSZ,Cuff size (cm) (width X length),Examination
BPAEN1,Enhancement used first reading,Examination
BPAEN2,Enhancement used second reading,Examination
BPAEN3,Enhancement used third reading,Examination
BPAEN4,Enhancement used fourth reading,Examination
BPXCHR,60 sec HR (30 sec HR * 2),Examination
BPXDI1,Diastolic:  Blood pressure (first reading) mm Hg,Examination
BPXDI2,Diastolic: Blood pressure (second reading) mm Hg,Examination
BPXDI3,Diastolic: Blood pressure (third reading) mm Hg,Examination
BPXDI4,Diastolic: Blood pressure (fourth reading if necessary) mm Hg,Examination
BPXML1,MIL: maximum inflation levels (mm Hg),Examination
BPXPLS,60 sec. pulse (30 sec. pulse * 2),Examination
BPXPTY,Pulse type,Examination
BPXPULS,Pulse regular or irregular?,Examination
BPXSY1,Systolic:  Blood pressure (first reading) mm Hg,Examination
BPXSY2,Systolic:  Blood pressure (second reading) mm Hg,Examination
BPXSY3,Systolic:  Blood pressure (third reading) mm Hg,Examination
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,Examination
PEASCCT1,Blood Pressure Comment,Examination
SEQN,Respondent sequence number.,Examination
BMDSTATS,Body Measures Component status Code,Examination
BMIARMC,Arm Circumference Comment,Examination
BMIARML,Upper Arm Length Comment,Examination
BMIHEAD,Head Circumference Comment,Examination
BMIHIP,Hip Circumference Comment,Examination
BMIHT,Standing Height Comment,Examination
BMILEG,Upper Leg Length Comment,Examination
BMIRECUM,Recumbent Length Comment,Examination
BMIWAIST,Waist Circumference Comment,Examination
BMIWT,Weight Comment,Examination
BMXARMC,Arm Circumference (cm),Examination
BMXARML,Upper Arm Length (cm),Examination
BMXBMI,Body Mass Index (kg/m**2),Examination
BMXHEAD,Head Circumference (cm),Examination
BMXHIP,Hip Circumference (cm),Examination
BMXHT,Standing Height (cm),Examination
BMXLEG,Upper Leg Length (cm),Examination
BMXRECUM,Recumbent Length (cm),Examination
BMXWAIST,Waist Circumference (cm),Examination
BMXWT,Weight (kg),Examination
SEQN,Respondent sequence number.,Examination
OHDDESTS,Dentition Status Code,Examination
OHDEXSTS,Overall Oral Health Exam Status,Examination
OHX01TC,Tooth Count:  Upper right 3rd molar (3M),Examination
OHX02CSC,"Coronal Caries:  Upper right 2nd molar (2M) surface calls.
These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Examination
OHX02CTC,Coronal Caries:  Upper right 2nd molar (2M) tooth code,Examination
OHX02RSC,"Coronal Caries: Secondary restoration surface call - Upper right 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Examination
OHX02RTC,Coronal Caries: Second restoration present - Upper right 2nd molar (2M),Examination
OHX02SE,"Dental Sealants:  Upper right 2nd molar (2M) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Examination
OHX02TC,Tooth Count:  Upper right 2nd molar (2M),Examination
OHX03CSC,"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Examination
OHX03CTC,Coronal Caries:  Upper right 1st molar (1M) tooth code,Examination
OHX03RSC,"Coronal Caries: Secondary restoration surface call - Upper right 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Examination
OHX03RTC,Coronal Caries: Second restoration present - Upper right 1st molar (1M),Examination
OHX03SE,"Dental Sealants:  Upper right 1st molar (1M) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Examination
OHX03TC,Tooth Count:  Upper right 1st molar (1M),Examination
OHX04CSC,"Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Examination
OHX04CTC,Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code,Examination
OHX04RSC,"Coronal Caries: Secondary restoration surface call - Upper right 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Examination
OHX04RTC,Coronal Caries: Second restoration present - Upper right 2nd bicuspid/2nd primary molar (2B),Examination
OHX04SE,"Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Examination
OHX04TC,Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B),Examination
OHX05CSC,"Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Examination
OHX05CTC,Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code,Examination
OHX05RSC,"Coronal Caries: Secondary restoration surface call - Upper right 1st bicuspid/1st primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Examination
OHX05RTC,Coronal Caries: Second restoration present - Upper right 1st bicuspid/1st primary molar (1B),Examination
OHX05SE,"Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Examination
