Variable Name,Component,Variable Description
DR1DBIH,Dietary,# of days b/w intake and HH interview
DR1DRSTZ,Dietary,Dietary recall status
DR1EXMER,Dietary,Interviewer ID code
DR1HELP,Dietary,Who helped in responding for this interview
DR1LANG,Dietary,The respondent spoke mostly:
DR1MRESP,Dietary,Who was the main respondent for this interview?
DRDINT,Dietary,Indicates whether the sample person has intake data for one or two days.
DS1AN,Dietary,Any Antacids Taken?
DS1ANCNT,Dietary,Total # of Antacids Taken
DS1DS,Dietary,Any Dietary Supplements taken in the past 24 hour?
DS1DSCNT,Dietary,Total # of Dietary Supplements Taken
DS1TCAFF,Dietary,Caffeine (mg)
DS1TCARB,Dietary,Carbohydrate (gm)
DS1TCHL,Dietary,Total choline (mg)
DS1TCHOL,Dietary,Cholesterol (mg)
DS1TCOPP,Dietary,Copper (mg)
DS1TFA,Dietary,Folic acid (mcg)
DS1TFDFE,Dietary,"Folate, DFE (mcg)"
DS1TFIBE,Dietary,Dietary fiber (gm)
DS1TIODI,Dietary,Iodine (mcg)
DS1TIRON,Dietary,Iron (mg)
DS1TKCAL,Dietary,Energy (kcal)
DS1TLYCO,Dietary,Lycopene (mcg)
DS1TLZ,Dietary,Lutein + zeaxanthin (mcg)
DS1TMAGN,Dietary,Magnesium (mg)
DS1TMFAT,Dietary,Total monounsaturated fatty acids (gm)
DS1TNIAC,Dietary,Niacin (mg)
DS1TPFAT,Dietary,Total polyunsaturated fatty acids (gm)
DS1TPHOS,Dietary,Phosphorus (mg)
DS1TPOTA,Dietary,Potassium (mg)
DS1TPROT,Dietary,Protein (gm)
DS1TSELE,Dietary,Selenium (mcg)
DS1TSFAT,Dietary,Total saturated fatty acids (gm)
DS1TSODI,Dietary,Sodium (mg)
DS1TSUGR,Dietary,Total sugars (gm)
DS1TTFAT,Dietary,Total fat (gm)
DS1TVB1,Dietary,Thiamin (Vitamin B1) (mg)
DS1TVB12,Dietary,Vitamin B12 (mcg)
DS1TVB2,Dietary,Riboflavin (Vitamin B2) (mg)
DS1TVB6,Dietary,Vitamin B6 (mg)
DS1TVC,Dietary,Vitamin C (mg)
DS1TVD,Dietary,Vitamin D (D2 + D3) (mcg)
DS1TVK,Dietary,Vitamin K (mcg)
DS1TZINC,Dietary,Zinc (mg)
SEQN,Dietary,Respondent sequence number.
WTDR2D,Dietary,Dietary two-day sample weight
WTDRD1,Dietary,Dietary day one sample weight
DR2DAY,Dietary,Intake day of the week
DR2DBIH,Dietary,# of days b/w intake and HH interview
DR2DRSTZ,Dietary,Dietary recall status
DR2EXMER,Dietary,Interviewer ID code
DR2HELP,Dietary,Who helped in responding for this interview
DR2LANG,Dietary,The respondent spoke mostly:
DR2MRESP,Dietary,Who was the main respondent for this interview?
DRDINT,Dietary,Indicates whether the sample person has intake data for one or two days.
DS2AN,Dietary,Any Antacids Taken?
DS2ANCNT,Dietary,Total # of Antacids Taken
DS2DS,Dietary,Any Dietary Supplements taken in the past 24 hour?
DS2DSCNT,Dietary,Total # of Dietary Supplements Taken
DS2TCAFF,Dietary,Caffeine (mg)
DS2TCARB,Dietary,Carbohydrate (gm)
DS2TCHL,Dietary,Total choline (mg)
DS2TCHOL,Dietary,Cholesterol (mg)
DS2TCOPP,Dietary,Copper (mg)
DS2TFA,Dietary,Folic acid (mcg)
DS2TFDFE,Dietary,"Folate, DFE (mcg)"
DS2TFIBE,Dietary,Dietary fiber (gm)
DS2TIODI,Dietary,Iodine (mcg)
DS2TIRON,Dietary,Iron (mg)
DS2TKCAL,Dietary,Energy (kcal)
DS2TLYCO,Dietary,Lycopene (mcg)
DS2TLZ,Dietary,Lutein + zeaxanthin (mcg)
DS2TMAGN,Dietary,Magnesium (mg)
DS2TMFAT,Dietary,Total monounsaturated fatty acids (gm)
DS2TNIAC,Dietary,Niacin (mg)
DS2TPFAT,Dietary,Total polyunsaturated fatty acids (gm)
DS2TPHOS,Dietary,Phosphorus (mg)
DS2TPOTA,Dietary,Potassium (mg)
DS2TPROT,Dietary,Protein (gm)
DS2TSELE,Dietary,Selenium (mcg)
DS2TSFAT,Dietary,Total saturated fatty acids (gm)
DS2TSODI,Dietary,Sodium (mg)
DS2TSUGR,Dietary,Total sugars (gm)
DS2TTFAT,Dietary,Total fat (gm)
DS2TVB1,Dietary,Thiamin (Vitamin B1) (mg)
DS2TVB12,Dietary,Vitamin B12 (mcg)
DS2TVB2,Dietary,Riboflavin (Vitamin B2) (mg)
DS2TVB6,Dietary,Vitamin B6 (mg)
DS2TVC,Dietary,Vitamin C (mg)
DS2TVD,Dietary,Vitamin D (D2 + D3) (mcg)
DS2TVK,Dietary,Vitamin K (mcg)
DS2TZINC,Dietary,Zinc (mg)
SEQN,Dietary,Respondent sequence number.
WTDR2D,Dietary,Dietary two-day sample weight
WTDRD1,Dietary,Dietary day one sample weight
DSD070,Dietary,Was container seen?
DSD090,Dietary,For how long have you been taking {PRODUCT NAME} or a similar type of product?
DSD103,Dietary,"In the past 30 days, on how many days did you take {PRODUCT NAME}?"
DSD122Q,Dietary,"On the days that (you/SP) took (PRODUCT NAME), how much did (you/SP), usually take on a single day?"
DSD122U,Dietary,"On the days that {you/SP} took {PRODUCT NAME}, how much did {you/SP} usually take on a single day?"
DSD128AA,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128BB,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128DD,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128EE,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128FF,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128GG,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128HH,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128II,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128JJ,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128KK,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128LL,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128MM,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128OO,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128PP,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128T,Dietary,What is the reason you take {PRODUCT NAME}? (Did you decide to take it for reasons of your own or did a doctor or other health provider tell you to take it?)
DSD128V,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128W,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128X,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSD128Z,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSDACTSS,Dietary,Reported serving size/label serving size
DSDANTA,Dietary,Antacid reported as a dietary supplement
DSDDAY1,Dietary,"Was Supplement taken during the 24 Hour Recall, Day 1?"
DSDDAY2,Dietary,"Was Supplement taken during the 24 Hour Recall, Day 2?"
DSDMTCH,Dietary,Matching code
DSDPID,Dietary,Supplement ID Number
DSDSUPP,Dietary,
DSQ124,Dietary,What is the reason you take {PRODUCT NAME}? (Did you decide to take it for reasons of your own or did a doctor or other health provider tell you to take it?)
DSQ128A,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128B,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128C,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128D,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128E,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128F,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128G,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128H,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128I,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128J,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128K,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128L,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128M,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128N,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128NN,Dietary,For what reason or reasons do you take {PRODUCT NAME}?} (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128O,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128P,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128Q,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128R,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQ128S,Dietary,For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)
DSQICAFF,Dietary,Caffeine (mg)
DSQICARB,Dietary,Carbohydrate (gm)
DSQICHL,Dietary,Total choline (mg)
DSQICHOL,Dietary,Cholesterol (mg)
DSQICOPP,Dietary,Copper (mg)
DSQIFA,Dietary,Folic acid (mcg)
DSQIFDFE,Dietary,"Folate, DFE (mcg)"
DSQIFIBE,Dietary,Dietary fiber (gm)
DSQIIODI,Dietary,
DSQIIRON,Dietary,Iron (mg)
DSQIKCAL,Dietary,Energy (kcal)
DSQILYCO,Dietary,Lycopene (mcg)
DSQILZ,Dietary,Lutein + zeaxanthin (mcg)
DSQIMAGN,Dietary,Magnesium (mg)
DSQIMFAT,Dietary,Total monounsaturated fatty acids (gm)
DSQINIAC,Dietary,Niacin (mg)
DSQIPFAT,Dietary,Total polyunsaturated fatty acids (gm)
DSQIPHOS,Dietary,Phosphorus (mg)
DSQIPOTA,Dietary,Potassium (mg)
DSQIPROT,Dietary,Protein (gm)
DSQISELE,Dietary,Selenium (mcg)
DSQISFAT,Dietary,Total saturated fatty acids (gm)
DSQISODI,Dietary,Sodium (mg)
DSQISUGR,Dietary,Total sugars (gm)
DSQITFAT,Dietary,Total fat (gm)
DSQIVB1,Dietary,Thiamin (Vitamin B1) (mg)
DSQIVB12,Dietary,Vitamin B12 (mcg)
DSQIVB2,Dietary,Riboflavin (Vitamin B2) (mg)
DSQIVB6,Dietary,Vitamin B6 (mg)
DSQIVC,Dietary,Vitamin C (mg)
DSQIVD,Dietary,Vitamin D (D2 + D3) (mcg)
DSQIVK,Dietary,Vitamin K (mcg)
DSQIZINC,Dietary,Zinc (mg)
RXQ215A,Dietary,"Did you take {PRODUCT NAME} as an antacid, as a calcium supplement, or both?"
SEQN,Dietary,Respondent sequence number.
BPAARM,Examination,Arm selected:
BPACSZ,Examination,Cuff size (cm) (width X length)
BPAEN1,Examination,Enhancement used first reading
BPAEN2,Examination,Enhancement used second reading
BPAEN3,Examination,Enhancement used third reading
BPAEN4,Examination,Enhancement used fourth reading
BPXCHR,Examination,60 sec HR (30 sec HR * 2)
BPXDI1,Examination,Diastolic:  Blood pressure (first reading) mm Hg
BPXDI2,Examination,Diastolic: Blood pressure (second reading) mm Hg
BPXDI3,Examination,Diastolic: Blood pressure (third reading) mm Hg
BPXDI4,Examination,Diastolic: Blood pressure (fourth reading if necessary) mm Hg
BPXML1,Examination,MIL: maximum inflation levels (mm Hg)
BPXPLS,Examination,60 sec. pulse (30 sec. pulse * 2)
BPXPTY,Examination,Pulse type
BPXPULS,Examination,Pulse regular or irregular?
BPXSY1,Examination,Systolic:  Blood pressure (first reading) mm Hg
BPXSY2,Examination,Systolic:  Blood pressure (second reading) mm Hg
BPXSY3,Examination,Systolic:  Blood pressure (third reading) mm Hg
BPXSY4,Examination,Systolic:  Blood pressure (fourth reading if necessary) mm Hg
PEASCCT1,Examination,Blood Pressure Comment
SEQN,Examination,Respondent sequence number.
BMDSTATS,Examination,Body Measures Component status Code
BMIARMC,Examination,Arm Circumference Comment
BMIARML,Examination,Upper Arm Length Comment
BMIHEAD,Examination,Head Circumference Comment
BMIHIP,Examination,Hip Circumference Comment
BMIHT,Examination,Standing Height Comment
BMILEG,Examination,Upper Leg Length Comment
BMIRECUM,Examination,Recumbent Length Comment
BMIWAIST,Examination,Waist Circumference Comment
BMIWT,Examination,Weight Comment
BMXARMC,Examination,Arm Circumference (cm)
BMXARML,Examination,Upper Arm Length (cm)
BMXBMI,Examination,Body Mass Index (kg/m**2)
BMXHEAD,Examination,Head Circumference (cm)
BMXHIP,Examination,Hip Circumference (cm)
BMXHT,Examination,Standing Height (cm)
BMXLEG,Examination,Upper Leg Length (cm)
BMXRECUM,Examination,Recumbent Length (cm)
BMXWAIST,Examination,Waist Circumference (cm)
BMXWT,Examination,Weight (kg)
SEQN,Examination,Respondent sequence number.
OHDDESTS,Examination,Dentition Status Code
OHDEXSTS,Examination,Overall Oral Health Exam Status
OHX01TC,Examination,Tooth Count:  Upper right 3rd molar (3M)
OHX02CSC,Examination,"Coronal Caries:  Upper right 2nd molar (2M) surface calls.
These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX02CTC,Examination,Coronal Caries:  Upper right 2nd molar (2M) tooth code
OHX02RSC,Examination,"Coronal Caries: Secondary restoration surface call - Upper right 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX02RTC,Examination,Coronal Caries: Second restoration present - Upper right 2nd molar (2M)
OHX02SE,Examination,"Dental Sealants:  Upper right 2nd molar (2M) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX02TC,Examination,Tooth Count:  Upper right 2nd molar (2M)
OHX03CSC,Examination,"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX03CTC,Examination,Coronal Caries:  Upper right 1st molar (1M) tooth code
OHX03RSC,Examination,"Coronal Caries: Secondary restoration surface call - Upper right 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX03RTC,Examination,Coronal Caries: Second restoration present - Upper right 1st molar (1M)
OHX03SE,Examination,"Dental Sealants:  Upper right 1st molar (1M) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX03TC,Examination,Tooth Count:  Upper right 1st molar (1M)
OHX04CSC,Examination,"Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX04CTC,Examination,Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code
OHX04RSC,Examination,"Coronal Caries: Secondary restoration surface call - Upper right 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX04RTC,Examination,Coronal Caries: Second restoration present - Upper right 2nd bicuspid/2nd primary molar (2B)
OHX04SE,Examination,"Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX04TC,Examination,Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)
OHX05CSC,Examination,"Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX05CTC,Examination,Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code
OHX05RSC,Examination,"Coronal Caries: Secondary restoration surface call - Upper right 1st bicuspid/1st primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX05RTC,Examination,Coronal Caries: Second restoration present - Upper right 1st bicuspid/1st primary molar (1B)
