Variable,Encoding
AUQ590,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ600,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ610,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
AUQ051,"{1: 'Yes, right ear', 2: 'Yes, left ear', 7: 'Refused', 9: ""No / don't know"", '.': 'Missing'}"
AUQ010,"{1: 'Yes, right ear', 2: 'Yes, left ear', 3: 'Yes, both ears', 4: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ020,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ020A,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ020B,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ020C,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ020D,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ020E,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ031,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ041,"{77: 'SP refused', 99: ""Don't know"", '.': 'Missing'}"
AUQ520,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ530,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
AUQ050,"{1: 'Yes, right ear', 2: 'Yes, left ear', 7: 'Refused', 9: ""No / don't know"", '.': 'Missing'}"
AUXOTSPL,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUXLOEXC,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUXLOIMC,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUXLOCOL,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUXLOABN,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUDLOABC,"{1: 'Possible Perforated Eardrum', 3: 'Possible Infection', 4: 'TM Scarring or Deformity', 5: 'Possible Ear Canal Abrasion', 6: 'Growth or Foreign Body in Ear Canal', 7: 'Deformity of Auricle', 8: 'Other', 9: 'Could not Visualize Eardrum', '.': 'Missing'}"
AUXROTSP,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUXROEXC,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUXROIMC,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUXROCOL,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUXROABN,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', '.': 'Missing'}"
AUDROABC,"{1: 'Possible Perforated Eardrum', 3: 'Possible Infection', 4: 'TM Scarring or Deformity', 5: 'Possible Ear Canal Abrasion', 6: 'Growth or Foreign Body in Ear Canal', 7: 'Deformity of Auricle', 8: 'Other', 9: 'Could not Visualize Eardrum', '.': 'Missing'}"
AUXTMEPR,{'.': 'Missing'}
AUXTPVR,{'.': 'Missing'}
AUXTWIDR,{'.': 'Missing'}
AUXTCOMR,{'.': 'Missing'}
AUXTMEPL,{'.': 'Missing'}
AUXTPVL,{'.': 'Missing'}
AUXTWIDL,{'.': 'Missing'}
AUXTCOML,{'.': 'Missing'}
AUAEAR,"{1: 'Right', 2: 'Left', '.': 'Missing'}"
AUAMODE,"{1: 'Manual', 2: 'Automatic', 3: 'Mixed', '.': 'Missing'}"
AUAFMANL,"{1: 'None', 2: '500 Hz', 3: '1000 Hz', 4: '2000 Hz', 5: '3000 Hz', 6: '4000 Hz', 7: '6000 Hz', 8: '8000 Hz', '.': 'Missing'}"
AUAFMANR,"{1: 'None', 2: '500 Hz', 3: '1000 Hz', 4: '2000 Hz', 5: '3000 Hz', 6: '4000 Hz', 7: '6000 Hz', 8: '8000 Hz', '.': 'Missing'}"
AUXU1K1R,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU500R,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU1K2R,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU2KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU3KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU4KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU6KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU8KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU1K1L,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU500L,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU1K2L,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU2KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU3KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU4KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU6KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXU8KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR1K1R,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR5CR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR1K2R,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR2KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR3KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR4KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR6KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR8KR,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR1K1L,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR5CL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR1K2L,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR2KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR3KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR4KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR6KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUXR8KL,"{666: 'No response', 888: 'Could not obtain', '.': 'Missing'}"
AUAREQC,"{1: 'Good - tympanogram is smooth and symmetrical', 2: ""Adequate - tympanogram is 'noisy' but adequate for interpretation"", 3: 'Poor - tympanogram cannot be interpreted', 7: 'SP Refused Tympanometry', 8: 'Could not obtain', 9: 'Equivocal - tympanogram cannot be evaluated without further information', '.': 'Missing'}"
AUATYMTR,"{88888: 'Could not obtain', 99999: 'Could not interpret'}"
AUALEQC,"{1: 'Good - tympanogram is smooth and symmetrical', 2: ""Adequate - tympanogram is 'noisy' but adequate for interpretation"", 3: 'Poor - tympanogram cannot be interpreted', 7: 'SP Refused Tympanometry', 8: 'Could not obtain', 9: 'Equivocal - tympanogram cannot be evaluated without further information', '.': 'Missing'}"
AUATYMTL,"{88888: 'Could not obtain', 99999: 'Could not interpret'}"
PEASCCT1,"{1: 'Safety exclusion', 2: 'SP refusal', 3: 'Time constraints', 4: 'Other', '.': 'Missing'}"
BPXCHR,{'.': 'Missing'}
BPAARM,"{1: 'Right', 2: 'Left', 8: 'Could not obtain', '.': 'Missing'}"
BPACSZ,"{1: 'Infant (6X12)', 2: 'Child (9X17)', 3: 'Adult (12X22)', 4: 'Large (15X32)', 5: 'Thigh (18X35)', '.': 'Missing'}"
BPXPLS,{'.': 'Missing'}
BPXPULS,"{1: 'Regular', 2: 'Irregular', '.': 'Missing'}"
BPXPTY,"{1: 'Radial', 2: 'Brachial', 8: 'Could not obtain', '.': 'Missing'}"
BPXML1,{'.': 'Missing'}
BPXSY1,{'.': 'Missing'}
BPXDI1,{'.': 'Missing'}
BPAEN1,"{1: 'Yes', 2: 'No', 8: 'Could not obtain', '.': 'Missing'}"
BPXSY2,{'.': 'Missing'}
BPXDI2,{'.': 'Missing'}
BPAEN2,"{1: 'Yes', 2: 'No', 8: 'Could not obtain', '.': 'Missing'}"
BPXSY3,{'.': 'Missing'}
BPXDI3,{'.': 'Missing'}
BPAEN3,"{1: 'Yes', 2: 'No', 8: 'Could not obtain', '.': 'Missing'}"
BPXSY4,{'.': 'Missing'}
BPXDI4,{'.': 'Missing'}
BPAEN4,"{1: 'Yes', 2: 'No', 8: 'Could not obtain', '.': 'Missing'}"
BPAOARM,{}
BPAOCSZ,"{2: '17-21.9 (bladder size = 9.20 x 16.68 cm)', 3: '22-31.9 (bladder size = 12.49 x 23.52 cm)', 4: '32-41.9 (bladder size = 14.98 x 31.19 cm)', 5: '42-50 (bladder size = 17.98 x 37.89 cm)', '.': 'Missing'}"
BPAOMNTS,{'.': 'Missing'}
BPXOSY1,{'.': 'Missing'}
BPXODI1,{'.': 'Missing'}
BPXOSY2,{'.': 'Missing'}
BPXODI2,{'.': 'Missing'}
BPXOSY3,{'.': 'Missing'}
BPXODI3,{'.': 'Missing'}
BPXOPLS1,{'.': 'Missing'}
BPXOPLS2,{'.': 'Missing'}
BPXOPLS3,{'.': 'Missing'}
BMDSTATS,"{1: 'Complete data for age group', 2: 'Partial:  Only height and weight obtained', 3: 'Other partial exam', 4: 'No body measures exam data', '.': 'Missing'}"
BMXWT,{'.': 'Missing'}
BMIWT,"{1: 'Could not obtain', 3: 'Clothing', 4: 'Medical appliance', '.': 'Missing'}"
BMXRECUM,{'.': 'Missing'}
BMIRECUM,"{1: 'Could not obtain', 3: 'Not straight', '.': 'Missing'}"
BMXHEAD,{'.': 'Missing'}
BMIHEAD,"{1: 'Could not obtain', '.': 'Missing'}"
BMXHT,{'.': 'Missing'}
BMIHT,"{1: 'Could not obtain', 3: 'Not straight', '.': 'Missing'}"
BMXBMI,{'.': 'Missing'}
BMXLEG,{'.': 'Missing'}
BMILEG,"{1: 'Could not obtain', '.': 'Missing'}"
BMXARML,{'.': 'Missing'}
BMIARML,"{1: 'Could not obtain', '.': 'Missing'}"
BMXARMC,{'.': 'Missing'}
BMIARMC,"{1: 'Could not obtain', '.': 'Missing'}"
BMXWAIST,{'.': 'Missing'}
BMIWAIST,"{1: 'Could not obtain', '.': 'Missing'}"
BMXHIP,{'.': 'Missing'}
BMIHIP,"{1: 'Could not obtain', '.': 'Missing'}"
DXXAGST,"{1: 'Whole body scan completed; android/gynoid region is valid', 2: 'Whole body scan completed, but android or gynoid region is invalid', 3: 'Whole body not scanned, pregnancy', 4: 'Whole body not scanned, weight > 450 lbs', 5: ""Whole body not scanned, height > 6'5â\x80\x9d"", 6: 'Whole body not scanned, other reason', '.': 'Missing'}"
DXXVATV,"{0: 'Valid', 1: 'Invalid', '.': 'Missing'}"
DXXANTV,"{0: 'Valid', 1: 'Invalid', '.': 'Missing'}"
DXXGYTV,"{0: 'Valid', 1: 'Invalid', '.': 'Missing'}"
DXXANFM,{'.': 'Missing'}
DXXANLM,{'.': 'Missing'}
DXXANTOM,{'.': 'Missing'}
DXXGYFM,{'.': 'Missing'}
DXXGYLM,{'.': 'Missing'}
DXXGYTOM,{'.': 'Missing'}
DXXAGRAT,{'.': 'Missing'}
DXXAPFAT,{'.': 'Missing'}
DXXGPFAT,{'.': 'Missing'}
DXXSATA,{'.': 'Missing'}
DXXSATM,{'.': 'Missing'}
DXXSATV,{'.': 'Missing'}
DXXTATA,{'.': 'Missing'}
DXXTATM,{'.': 'Missing'}
DXXTATV,{'.': 'Missing'}
DXXVFATA,{'.': 'Missing'}
DXXVFATM,{'.': 'Missing'}
DXXVFATV,{'.': 'Missing'}
DXAFMRST,"{1: 'Femur scan completed, all data are valid', 2: 'Femur scan completed, but all data are invalid', 4: 'Femur not scanned, weight > 450 lbs', 5: 'Femur not scanned, other reason', '.': 'Missing'}"
DXXFMBCC,"{0: 'Valid data', 1: 'Removable or non-removable objects', 3: 'Excessive x-ray noise due to obesity', 4: 'Body parts out of scan region', 5: 'Positioning problem', 6: 'Other (includes panniculus, participant motion, unknown       artifact)', '.': 'Missing'}"
DXXOFBMD,{'.': 'Missing'}
DXXOFBMC,{'.': 'Missing'}
DXXOFA,{'.': 'Missing'}
DXXNKBMD,{'.': 'Missing'}
DXXNKBMC,{'.': 'Missing'}
DXXNKA,{'.': 'Missing'}
DXXTRBMD,{'.': 'Missing'}
DXXTRBMC,{'.': 'Missing'}
DXXTRA,{'.': 'Missing'}
DXXINBMD,{'.': 'Missing'}
DXXINBMC,{'.': 'Missing'}
DXXINA,{'.': 'Missing'}
DXXWDBMD,{'.': 'Missing'}
DXXWDBMC,{'.': 'Missing'}
DXXWDA,{'.': 'Missing'}
DXAFMRK,{'.': 'Missing'}
DXAFMRD0,{'.': 'Missing'}
DXASPNST,"{1: 'Spine scan completed, all vertebrae are valid', 2: 'Spine scan completed, but one or more vertebrae are       invalid', 4: 'Spine not scanned, weight > 450 lbs', 5: 'Spine not scanned, other reason', '.': 'Missing'}"
DXXOSBCC,"{0: 'Valid data', 1: 'Invalid data', '.': 'Missing'}"
DXXL1BCC,"{0: 'Valid data', 1: 'Removable or non-removable objects', 3: 'Excessive x-ray noise due to morbid obesity', 4: 'Insufficient scan area', 5: 'Movement', 6: 'Other (degenerative diseases, spinal fusion,     fractures)', '.': 'Missing'}"
DXXL2BCC,"{0: 'Valid data', 1: 'Removable or non-removable objects', 3: 'Excessive x-ray noise due to morbid obesity', 4: 'Insufficient scan area', 5: 'Movement', 6: 'Other (degenerative diseases, spinal fusion,     fractures)', '.': 'Missing'}"
DXXL3BCC,"{0: 'Valid data', 1: 'Removable or non-removable objects', 3: 'Excessive x-ray noise due to morbid obesity', 4: 'Insufficient scan area', 5: 'Movement', 6: 'Other (degenerative diseases, spinal fusion,     fractures)', '.': 'Missing'}"
DXXL4BCC,"{0: 'Valid data', 1: 'Removable or non-removable objects', 3: 'Excessive x-ray noise due to morbid obesity', 4: 'Insufficient scan area', 5: 'Movement', 6: 'Other (degenerative diseases, spinal fusion,     fractures)', '.': 'Missing'}"
DXXOSBMD,{'.': 'Missing'}
DXXOSBMC,{'.': 'Missing'}
DXXOSA,{'.': 'Missing'}
DXXL1BMD,{'.': 'Missing'}
DXXL1BMC,{'.': 'Missing'}
DXXL1A,{'.': 'Missing'}
DXXL2BMD,{'.': 'Missing'}
DXXL2BMC,{'.': 'Missing'}
DXXL2A,{'.': 'Missing'}
DXXL3BMD,{'.': 'Missing'}
DXXL3BMC,{'.': 'Missing'}
DXXL3A,{'.': 'Missing'}
DXXL4BMD,{'.': 'Missing'}
DXXL4BMC,{'.': 'Missing'}
DXXL4A,{'.': 'Missing'}
DXASPNK,{'.': 'Missing'}
DXASPND0,{'.': 'Missing'}
DXAEXSTS,"{1: 'Whole body scan completed', 2: 'Whole body scan completed, but  invalid', 3: 'Whole body not scanned, pregnancy', 4: 'Whole body not scanned, weight > 450 lbs', 5: ""Whole body not scanned,  height > 6'5"", 6: 'Whole body not scanned, other reason', '.': 'Missing'}"
DXAHEBV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXHEA,{'.': 'Missing'}
DXXHEBMC,{'.': 'Missing'}
DXXHEBMD,{'.': 'Missing'}
DXAHETV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXHEFAT,{'.': 'Missing'}
DXDHELE,{'.': 'Missing'}
DXXHELI,{'.': 'Missing'}
DXDHETOT,{'.': 'Missing'}
DXDHEPF,{'.': 'Missing'}
DXALABV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXLAA,{'.': 'Missing'}
DXXLABMC,{'.': 'Missing'}
DXXLABMD,{'.': 'Missing'}
DXALATV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXLAFAT,{'.': 'Missing'}
DXDLALE,{'.': 'Missing'}
DXXLALI,{'.': 'Missing'}
DXDLATOT,{'.': 'Missing'}
DXDLAPF,{'.': 'Missing'}
DXALLBV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXLLA,{'.': 'Missing'}
DXXLLBMC,{'.': 'Missing'}
DXXLLBMD,{'.': 'Missing'}
DXALLTV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXLLFAT,{'.': 'Missing'}
DXDLLLE,{'.': 'Missing'}
DXXLLLI,{'.': 'Missing'}
DXDLLTOT,{'.': 'Missing'}
DXDLLPF,{'.': 'Missing'}
DXARABV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXRAA,{'.': 'Missing'}
DXXRABMC,{'.': 'Missing'}
DXXRABMD,{'.': 'Missing'}
DXARATV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXRAFAT,{'.': 'Missing'}
DXDRALE,{'.': 'Missing'}
DXXRALI,{'.': 'Missing'}
DXDRATOT,{'.': 'Missing'}
DXDRAPF,{'.': 'Missing'}
DXARLBV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXRLA,{'.': 'Missing'}
DXXRLBMC,{'.': 'Missing'}
DXXRLBMD,{'.': 'Missing'}
DXARLTV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXRLFAT,{'.': 'Missing'}
DXDRLLE,{'.': 'Missing'}
DXXRLLI,{'.': 'Missing'}
DXDRLTOT,{'.': 'Missing'}
DXDRLPF,{'.': 'Missing'}
DXXLRA,{'.': 'Missing'}
DXXLRBMC,{'.': 'Missing'}
DXXLRBMD,{'.': 'Missing'}
DXXRRA,{'.': 'Missing'}
DXXRRBMC,{'.': 'Missing'}
DXXRRBMD,{'.': 'Missing'}
DXXTSA,{'.': 'Missing'}
DXXTSBMC,{'.': 'Missing'}
DXXTSBMD,{'.': 'Missing'}
DXXLSA,{'.': 'Missing'}
DXXLSBMC,{'.': 'Missing'}
DXXLSBMD,{'.': 'Missing'}
DXXPEA,{'.': 'Missing'}
DXXPEBMC,{'.': 'Missing'}
DXXPEBMD,{'.': 'Missing'}
DXATRBV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 3: 'Excessive x-ray noise due to morbid obesity', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXDTRA,{'.': 'Missing'}
DXDTRBMC,{'.': 'Missing'}
DXDTRBMD,{'.': 'Missing'}
DXATRTV,"{0: 'Valid data', 1: 'Removable or non-removable objects', 3: 'Excessive x-ray noise due to morbid obesity', 4: 'Arm/leg overlap', 5: 'Body parts out of scan region', 6: 'Positioning problem', 7: 'Other', '.': 'Missing'}"
DXXTRFAT,{'.': 'Missing'}
DXDTRLE,{'.': 'Missing'}
DXXTRLI,{'.': 'Missing'}
DXDTRTOT,{'.': 'Missing'}
DXDTRPF,{'.': 'Missing'}
DXDSTA,{'.': 'Missing'}
DXDSTBMC,{'.': 'Missing'}
DXDSTBMD,{'.': 'Missing'}
DXDSTFAT,{'.': 'Missing'}
DXDSTLE,{'.': 'Missing'}
DXDSTLI,{'.': 'Missing'}
DXDSTTOT,{'.': 'Missing'}
DXDSTPF,{'.': 'Missing'}
DXDTOA,{'.': 'Missing'}
DXDTOBMC,{'.': 'Missing'}
DXDTOBMD,{'.': 'Missing'}
DXDTOFAT,{'.': 'Missing'}
DXDTOLE,{'.': 'Missing'}
DXDTOLI,{'.': 'Missing'}
DXDTOTOT,{'.': 'Missing'}
DXDTOPF,{'.': 'Missing'}
LUAXSTAT,"{1: 'Complete', 2: 'Partial', 3: 'Ineligible', 4: 'Not done', '.': 'Missing'}"
LUARXNC,"{1: 'Fasting < 3hrs', 2: 'Unable to obtain 10 valid measures', 3: 'IQR/M >30%', '.': 'Missing'}"
LUARXND,"{1: 'Participant refusal', 2: 'Limited time', 3: 'Other (e.g. physical or technical limitations )', '.': 'Missing'}"
LUARXIN,"{1: 'Pregnant/ Unable to get urine to test for pregnancy', 2: 'Other (e.g. insulin pump or other implantable electronic device)', '.': 'Missing'}"
LUAPNME,{}
LUANMVGP,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9', 10: '10', 11: '11', 12: '12', 13: '13', 14: '14', 15: '15', 16: '16', 17: '17', 18: '18', 19: '19', 20: '20 to 29', 30: '30 or more', '.': 'Missing'}"
LUANMTGP,"{0: 'Not done', 1: '1', 3: '3', 4: '4', 5: '5', 6: '6', 9: '9', 10: '10', 11: '11', 12: '12', 13: '13', 14: '14', 15: '15', 16: '16', 17: '17', 18: '18', 19: '19', 20: '20 to 29', 30: '30 or more', '.': 'Missing'}"
LUATECH,{}
LUXSMED,{'.': 'Missing'}
LUXSIQR,{'.': 'Missing'}
LUXSIQRM,{'.': 'Missing'}
LUXCAPM,{'.': 'Missing'}
LUXCPIQR,{'.': 'Missing'}
OHDEXSTS,"{1: 'Complete', 2: 'Partial', 3: 'Not Done', '.': 'Missing'}"
OHDDESTS,"{1: 'Complete', 2: 'Partial', 3: 'Not Done', '.': 'Missing'}"
OHXIMP,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
OHX01TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX02TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX03TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX04TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX05TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX06TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX07TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX08TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX09TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX10TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX11TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX12TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX13TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX14TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX15TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX16TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX17TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX18TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX19TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX20TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX21TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX22TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
OHX23TC,"{1: 'Primary tooth (deciduous) present', 2: 'Permanent tooth present', 3: 'Dental implant', 4: 'Tooth not present', 5: 'Permanent dental root fragment present', 9: 'Could not assess', '.': 'Missing'}"
