Variable,DataType,Label,Plain Description,Target
DRD370PQ,dietary,# of times shark eaten in past 30 days,Number of times shark was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370Q,dietary,Swordfish eaten during past 30 days,Swordfish eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370QQ,dietary,# of times swordfish eaten past 30 days,Number of times swordfish was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370R,dietary,Trout eaten during past 30 days,Trout eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370RQ,dietary,# of times trout eaten in past 30 days,Number of times trout was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370S,dietary,Walleye eaten during past 30 days,Walleye eaten during the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370SQ,dietary,# of times walleye eaten in past 30 days,Number of times walleye was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370T,dietary,Other fish eaten during past 30 days,Other type of fish eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370TQ,dietary,# of times other fish eaten past 30 days,Number of times other type of fish was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370U,dietary,Other unknown fish eaten in past 30 days,Other unknown type eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370UQ,dietary,# of times other unknown fish eaten,Number of times other unknown type of fish was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370V,dietary,Refused on fish eaten past 30 days,Refused to give detailed information on fish eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DR2DRSTZ,dietary,Dietary recall status,Dietary recall status,Both males and females 0 YEARS -150 YEARS
DR2EXMER,dietary,Interviewer ID code,Interviewer ID code,Both males and females 0 YEARS -150 YEARS
DR2DBIH,dietary,# of days b/w intake and HH interview,# of days b/w intake and HH interview,Both males and females 0 YEARS -150 YEARS
DR2DAY,dietary,Intake day of the week,Intake day of the week,Both males and females 0 YEARS -150 YEARS
DR2LANG,dietary,Language respondent used mostly,The respondent spoke mostly:,Both males and females 0 YEARS -150 YEARS
DR2MRESP,dietary,Main respondent for this interview,Who was the main respondent for this interview?,Both males and females 0 YEARS -150 YEARS
DR2HELP,dietary,Helped in responding for this interview,Who helped in responding for this interview,Both males and females 0 YEARS -150 YEARS
DR2TNUMF,dietary,Number of foods/beverages reported,Total number of foods/beverages reported in the individual foods file,Both males and females 0 YEARS -150 YEARS
DR2STY,dietary,Salt used at table yesterday?,"Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or sea salt, lite salt, or a salt substitute.",Both males and females 0 YEARS -150 YEARS
DR2SKY,dietary,Type of salt used yesterday,"What type of salt was it? (Was it ordinary or sea salt, lite salt, or a salt substitute?)",Both males and females 0 YEARS -150 YEARS
DR2TKCAL,dietary,Energy (kcal),Energy (kcal),Both males and females 0 YEARS -150 YEARS
DR2TPROT,dietary,Protein (gm),Protein (gm),Both males and females 0 YEARS -150 YEARS
DR2TCARB,dietary,Carbohydrate (gm),Carbohydrate (gm),Both males and females 0 YEARS -150 YEARS
DR2TSUGR,dietary,Total sugars (gm),Total sugars (gm),Both males and females 0 YEARS -150 YEARS
DR2TFIBE,dietary,Dietary fiber (gm),Dietary fiber (gm),Both males and females 0 YEARS -150 YEARS
DR2TTFAT,dietary,Total fat (gm),Total fat (gm),Both males and females 0 YEARS -150 YEARS
DR2TSFAT,dietary,Total saturated fatty acids (gm),Total saturated fatty acids (gm),Both males and females 0 YEARS -150 YEARS
DR2TMFAT,dietary,Total monounsaturated fatty acids (gm),Total monounsaturated fatty acids (gm),Both males and females 0 YEARS -150 YEARS
DR2TPFAT,dietary,Total polyunsaturated fatty acids (gm),Total polyunsaturated fatty acids (gm),Both males and females 0 YEARS -150 YEARS
DR2TCHOL,dietary,Cholesterol (mg),Cholesterol (mg),Both males and females 0 YEARS -150 YEARS
DR2TATOC,dietary,Vitamin E as alpha-tocopherol (mg),Vitamin E as alpha-tocopherol (mg),Both males and females 0 YEARS -150 YEARS
DR2TATOA,dietary,Added alpha-tocopherol (Vitamin E) (mg),Added alpha-tocopherol (Vitamin E) (mg),Both males and females 0 YEARS -150 YEARS
DR2TRET,dietary,Retinol (mcg),Retinol (mcg),Both males and females 0 YEARS -150 YEARS
DR2TVARA,dietary,"Vitamin A, RAE (mcg)",Vitamin A as retinol activity equivalents (mcg),Both males and females 0 YEARS -150 YEARS
DR2TACAR,dietary,Alpha-carotene (mcg),Alpha-carotene (mcg),Both males and females 0 YEARS -150 YEARS
DR2TBCAR,dietary,Beta-carotene (mcg),Beta-carotene (mcg),Both males and females 0 YEARS -150 YEARS
DR2TCRYP,dietary,Beta-cryptoxanthin (mcg),Beta-cryptoxanthin (mcg),Both males and females 0 YEARS -150 YEARS
DR2TLYCO,dietary,Lycopene (mcg),Lycopene (mcg),Both males and females 0 YEARS -150 YEARS
DR2TLZ,dietary,Lutein + zeaxanthin (mcg),Lutein + zeaxanthin (mcg),Both males and females 0 YEARS -150 YEARS
DR2TVB1,dietary,Thiamin (Vitamin B1) (mg),Thiamin (Vitamin B1) (mg),Both males and females 0 YEARS -150 YEARS
DR2TVB2,dietary,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),Both males and females 0 YEARS -150 YEARS
DR2TNIAC,dietary,Niacin (mg),Niacin (mg),Both males and females 0 YEARS -150 YEARS
DR2TVB6,dietary,Vitamin B6 (mg),Vitamin B6 (mg),Both males and females 0 YEARS -150 YEARS
DR2TFOLA,dietary,Total folate (mcg),Total folate (mcg),Both males and females 0 YEARS -150 YEARS
DR2TFA,dietary,Folic acid (mcg),Folic acid (mcg),Both males and females 0 YEARS -150 YEARS
DR2TFF,dietary,Food folate (mcg),Food folate (mcg),Both males and females 0 YEARS -150 YEARS
DR2TFDFE,dietary,"Folate, DFE (mcg)",Folate as dietary folate equivalents (mcg),Both males and females 0 YEARS -150 YEARS
DR2TCHL,dietary,Total choline (mg),Total choline (mg),Both males and females 0 YEARS -150 YEARS
DR2TVB12,dietary,Vitamin B12 (mcg),Vitamin B12 (mcg),Both males and females 0 YEARS -150 YEARS
DR2TB12A,dietary,Added vitamin B12 (mcg),Added vitamin B12 (mcg),Both males and females 0 YEARS -150 YEARS
DR2TVC,dietary,Vitamin C (mg),Vitamin C (mg),Both males and females 0 YEARS -150 YEARS
DR2TVD,dietary,Vitamin D (D2 + D3) (mcg),Vitamin D (D2 + D3) (mcg),Both males and females 0 YEARS -150 YEARS
DR2TVK,dietary,Vitamin K (mcg),Vitamin K (mcg),Both males and females 0 YEARS -150 YEARS
DR2TPHOS,dietary,Phosphorus (mg),Phosphorus (mg),Both males and females 0 YEARS -150 YEARS
DR2TMAGN,dietary,Magnesium (mg),Magnesium (mg),Both males and females 0 YEARS -150 YEARS
DR2TIRON,dietary,Iron (mg),Iron (mg),Both males and females 0 YEARS -150 YEARS
DR2TZINC,dietary,Zinc (mg),Zinc (mg),Both males and females 0 YEARS -150 YEARS
DR2TCOPP,dietary,Copper (mg),Copper (mg),Both males and females 0 YEARS -150 YEARS
DR2TSODI,dietary,Sodium (mg),Sodium (mg),Both males and females 0 YEARS -150 YEARS
DR2TPOTA,dietary,Potassium (mg),Potassium (mg),Both males and females 0 YEARS -150 YEARS
DR2TSELE,dietary,Selenium (mcg),Selenium (mcg),Both males and females 0 YEARS -150 YEARS
DR2TCAFF,dietary,Caffeine (mg),Caffeine (mg),Both males and females 0 YEARS -150 YEARS
DR2TTHEO,dietary,Theobromine (mg),Theobromine (mg),Both males and females 0 YEARS -150 YEARS
DR2TALCO,dietary,Alcohol (gm),Alcohol (gm),Both males and females 0 YEARS -150 YEARS
DR2TMOIS,dietary,Moisture (gm),Moisture (gm),Both males and females 0 YEARS -150 YEARS
DR2TS040,dietary,SFA 4:0 (Butanoic) (gm),SFA 4:0 (Butanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TS060,dietary,SFA 6:0 (Hexanoic) (gm),SFA 6:0 (Hexanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TS080,dietary,SFA 8:0 (Octanoic) (gm),SFA 8:0 (Octanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TS100,dietary,SFA 10:0 (Decanoic) (gm),SFA 10:0 (Decanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TS120,dietary,SFA 12:0 (Dodecanoic) (gm),SFA 12:0 (Dodecanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TS140,dietary,SFA 14:0 (Tetradecanoic) (gm),SFA 14:0 (Tetradecanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TS160,dietary,SFA 16:0 (Hexadecanoic) (gm),SFA 16:0 (Hexadecanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TS180,dietary,SFA 18:0 (Octadecanoic) (gm),SFA 18:0 (Octadecanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TM161,dietary,MFA 16:1 (Hexadecenoic) (gm),MFA 16:1 (Hexadecenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TM181,dietary,MFA 18:1 (Octadecenoic) (gm),MFA 18:1 (Octadecenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TM201,dietary,MFA 20:1 (Eicosenoic) (gm),MFA 20:1 (Eicosenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TM221,dietary,MFA 22:1 (Docosenoic) (gm),MFA 22:1 (Docosenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TP182,dietary,PFA 18:2 (Octadecadienoic) (gm),PFA 18:2 (Octadecadienoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TP183,dietary,PFA 18:3 (Octadecatrienoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TP184,dietary,PFA 18:4 (Octadecatetraenoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TP204,dietary,PFA 20:4 (Eicosatetraenoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TP205,dietary,PFA 20:5 (Eicosapentaenoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TP225,dietary,PFA 22:5 (Docosapentaenoic) (gm),PFA 22:5 (Docosapentaenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2TP226,dietary,PFA 22:6 (Docosahexaenoic) (gm),PFA 22:6 (Docosahexaenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR2_300,dietary,Compare food consumed yesterday to usual,"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?",Both males and females 0 YEARS -150 YEARS
DR2_320Z,dietary,Total plain water drank yesterday (gm),"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water.",Both males and females 0 YEARS -150 YEARS
DR2_330Z,dietary,Total tap water drank yesterday (gm),Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.,Both males and females 0 YEARS -150 YEARS
DR2BWATZ,dietary,Total bottled water drank yesterday (gm),Total bottled water drank yesterday. (gm),Both males and females 0 YEARS -150 YEARS
DR2TWSZ,dietary,Tap water source,"When you drink tap water, what is the main source of the tap water?",Both males and females 0 YEARS -150 YEARS
DS1DSCNT,dietary,Total # of Dietary Supplements Taken,Total # of Dietary Supplements Taken,Both males and females 0 YEARS -150 YEARS
DS1DS,dietary,Any Dietary Supplements Taken?,Any Dietary Supplements taken in the past 24 hour?,Both males and females 0 YEARS -150 YEARS
DS1ANCNT,dietary,Total # of Antacids Taken,Total # of Antacids Taken,Both males and females 0 YEARS -150 YEARS
DS1AN,dietary,Any Antacids Taken?,Any Antacids Taken?,Both males and females 0 YEARS -150 YEARS
DS1TKCAL,dietary,Energy (kcal),Energy (kcal),Both males and females 0 YEARS -150 YEARS
DS1TPROT,dietary,Protein (gm),Protein (gm),Both males and females 0 YEARS -150 YEARS
DS1TCARB,dietary,Carbohydrate (gm),Carbohydrate (gm),Both males and females 0 YEARS -150 YEARS
DS1TSUGR,dietary,Total sugars (gm),Total sugars (gm),Both males and females 0 YEARS -150 YEARS
DS1TFIBE,dietary,Dietary fiber (gm),Dietary fiber (gm),Both males and females 0 YEARS -150 YEARS
DS1TTFAT,dietary,Total fat (gm),Total fat (gm),Both males and females 0 YEARS -150 YEARS
DS1TSFAT,dietary,Total saturated fatty acids (gm),Total saturated fatty acids (gm),Both males and females 0 YEARS -150 YEARS
DS1TMFAT,dietary,Total monounsaturated fatty acids (gm),Total monounsaturated fatty acids (gm),Both males and females 0 YEARS -150 YEARS
DS1TPFAT,dietary,Total polyunsaturated fatty acids (gm),Total polyunsaturated fatty acids (gm),Both males and females 0 YEARS -150 YEARS
DS1TCHOL,dietary,Cholesterol (mg),Cholesterol (mg),Both males and females 0 YEARS -150 YEARS
DS1TLYCO,dietary,Lycopene (mcg),Lycopene (mcg),Both males and females 0 YEARS -150 YEARS
DS1TLZ,dietary,Lutein + zeaxanthin (mcg),Lutein + zeaxanthin (mcg),Both males and females 0 YEARS -150 YEARS
DS1TVB1,dietary,Thiamin (Vitamin B1) (mg),Thiamin (Vitamin B1) (mg),Both males and females 0 YEARS -150 YEARS
DS1TVB2,dietary,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),Both males and females 0 YEARS -150 YEARS
DS1TNIAC,dietary,Niacin (mg),Niacin (mg),Both males and females 0 YEARS -150 YEARS
DS1TVB6,dietary,Vitamin B6 (mg),Vitamin B6 (mg),Both males and females 0 YEARS -150 YEARS
DS1TVB12,dietary,Vitamin B12 (mcg),Vitamin B12 (mcg),Both males and females 0 YEARS -150 YEARS
DS1TFA,dietary,Folic acid (mcg),Folic acid (mcg),Both males and females 0 YEARS -150 YEARS
DS1TFDFE,dietary,"Folate, DFE (mcg)","Folate, DFE (mcg)",Both males and females 0 YEARS -150 YEARS
DS1TCHL,dietary,Total choline (mg),Total choline (mg),Both males and females 0 YEARS -150 YEARS
DS1TVC,dietary,Vitamin C (mg),Vitamin C (mg),Both males and females 0 YEARS -150 YEARS
DS1TVK,dietary,Vitamin K (mcg),Vitamin K (mcg),Both males and females 0 YEARS -150 YEARS
DS1TVD,dietary,Vitamin D (D2 + D3) (mcg),Vitamin D (D2 + D3) (mcg),Both males and females 0 YEARS -150 YEARS
DS1TPHOS,dietary,Phosphorus (mg),Phosphorus (mg),Both males and females 0 YEARS -150 YEARS
DS1TMAGN,dietary,Magnesium (mg),Magnesium (mg),Both males and females 0 YEARS -150 YEARS
DS1TIRON,dietary,Iron (mg),Iron (mg),Both males and females 0 YEARS -150 YEARS
DS1TZINC,dietary,Zinc (mg),Zinc (mg),Both males and females 0 YEARS -150 YEARS
DS1TCOPP,dietary,Copper (mg),Copper (mg),Both males and females 0 YEARS -150 YEARS
DS1TSODI,dietary,Sodium (mg),Sodium (mg),Both males and females 0 YEARS -150 YEARS
DS1TPOTA,dietary,Potassium (mg),Potassium (mg),Both males and females 0 YEARS -150 YEARS
DS1TSELE,dietary,Selenium (mcg),Selenium (mcg),Both males and females 0 YEARS -150 YEARS
DS1TCAFF,dietary,Caffeine (mg),Caffeine (mg),Both males and females 0 YEARS -150 YEARS
DS1TIODI,dietary,Iodine (mcg),Iodine (mcg),Both males and females 0 YEARS -150 YEARS
DS2DSCNT,dietary,Total # of Dietary Supplements Taken,Total # of Dietary Supplements Taken,Both males and females 0 YEARS -150 YEARS
DS2DS,dietary,Any Dietary Supplements Taken?,Any Dietary Supplements taken in the past 24 hour?,Both males and females 0 YEARS -150 YEARS
